function,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_div,last_time,generated_code,argument_size,output_size,temp_size,flops
FFT,float32,1024,1024,1024,1,4,NCCL,1,14.46,12.29,29.83,17.75,4.62,14.84,8140,1024,512,256,1980446517.998144
FFT,float32,1024,1024,1024,4,1,NCCL,1,22.23,7.2,29.56,15.17,1.95,13.71,5183,1024,512,256,1624919662.620594
FFT,float32,1024,1024,1024,2,2,NCCL,1,15.9,9.62,26.64,14.68,4.85,16.44,7375,1024,512,256,1906692296.8785357
FFT,float32,1024,1024,1024,2,4,NCCL,2,22.26,9.32,27.05,24.47,4.54,13.05,4545,1024,512,256,1240144669.949839
FFT,float32,1024,1024,1024,4,2,NCCL,2,14.98,10.29,34.88,20.59,1.2,20.7,4582,1024,512,256,1602259408.1075225
FFT,float32,1024,1024,1024,8,1,NCCL,2,17.53,12.61,17.25,21.1,1.05,14.76,2532,1024,512,256,1158553375.903484
FFT,float32,1024,1024,1024,1,8,NCCL,2,17.32,14.82,29.7,19.35,1.86,16.82,9120,1024,512,256,1600315025.8910482
FFT,float32,1024,1024,1024,4,4,NCCL,4,14.04,9.93,29.8,14.63,2.19,15.49,6826,1024,512,256,1597436399.5895004
FFT,float32,1024,1024,1024,8,2,NCCL,4,19.88,11.75,31.21,28.97,4.15,11.44,3112,1024,512,256,1983347982.168097
FFT,float32,1024,1024,1024,2,8,NCCL,4,23.3,5.17,31.48,11.43,4.63,15.5,5330,1024,512,256,1911046341.2441812
FFT,float32,1024,1024,1024,1,16,NCCL,4,13.9,7.17,30.01,10.53,1.42,17.18,8015,1024,512,256,1858240201.3951437
FFT,float32,1024,1024,1024,16,1,NCCL,4,11.13,8.79,25.5,16.79,1.14,15.8,3216,1024,512,256,1731492869.6380637
FFT,float32,1024,1024,1024,8,4,NCCL,8,25.95,8.62,22.01,28.78,4.68,20.76,6563,1024,512,256,1545143484.480318
FFT,float32,1024,1024,1024,4,8,NCCL,8,20.23,14.78,23.44,28.44,4.67,22.84,6623,1024,512,256,1203684775.2864678
FFT,float32,1024,1024,1024,1,32,NCCL,8,22.76,7.15,38.6,25.81,1.55,11.51,10000,1024,512,256,1627232074.2982893
FFT,float32,1024,1024,1024,32,1,NCCL,8,24.88,8.74,23.12,17.74,3.87,19.53,7951,1024,512,256,1563074331.773069
FFT,float32,1024,1024,1024,8,16,NCCL,32,12.92,10.91,19.86,16.12,1.36,16.96,3602,1024,512,256,1860004581.8403857
FFT,float32,1024,1024,1024,16,8,NCCL,32,27.3,13.7,33.94,22.49,2.11,23.39,4868,1024,512,256,1384195855.7403398
FFT,float32,1024,1024,1024,1,64,NCCL,16,19.56,9.43,37.5,19.93,1.03,20.35,3287,1024,512,256,1833149310.9595675
FFT,float32,1024,1024,1024,64,1,NCCL,16,22.27,11.94,18.54,19.92,1.57,14.86,5055,1024,512,256,1633664697.998724
FFT,float32,1024,1024,1024,16,16,NCCL,64,13.38,14.66,15.47,28.5,1.2,23.74,7701,1024,512,256,1310397067.906181
FFT,float32,1024,1024,1024,1,128,NCCL,32,23.54,9.35,39.25,10.22,3.31,19.92,1752,1024,512,256,1481577900.2309723
FFT,float32,1024,1024,1024,128,1,NCCL,32,15.36,12.78,35.62,16.48,2.65,11.55,4292,1024,512,256,1520296830.8093812
FFT,float32,1024,1024,1024,1,256,NCCL,64,19.48,8.0,29.62,13.95,1.29,16.75,1109,1024,512,256,1206672160.7151277
FFT,float32,1024,1024,1024,256,1,NCCL,64,19.22,13.75,38.6,14.39,4.13,23.15,5658,1024,512,256,1099989839.1391218
FFT,float32,1024,1024,1024,128,2,NCCL,64,29.28,6.83,19.15,18.62,4.74,22.54,9372,1024,512,256,1597602383.7076664
FFT,float32,1024,1024,1024,2,128,NCCL,64,10.98,11.4,32.69,29.75,1.67,13.08,2775,1024,512,256,1151280379.5962117
FFT,float32,2048,2048,2048,1,4,NCCL,1,21.62,12.89,20.58,13.7,2.2,22.8,2866,2048,1024,512,1360464632.0177484
FFT,float32,2048,2048,2048,4,1,NCCL,1,23.02,12.12,27.48,22.6,2.52,11.15,1759,2048,1024,512,1688077949.1190104
FFT,float32,2048,2048,2048,2,2,NCCL,1,25.91,8.44,31.34,25.88,3.11,18.2,4963,2048,1024,512,1211800432.5581403
FFT,float32,2048,2048,2048,2,4,NCCL,2,22.15,12.64,31.66,23.03,1.41,19.23,1197,2048,1024,512,1258391850.294375
FFT,float32,2048,2048,2048,4,2,NCCL,2,24.99,10.61,26.15,22.05,3.95,15.06,7176,2048,1024,512,1501374479.7236595
FFT,float32,2048,2048,2048,8,1,NCCL,2,15.22,8.11,38.91,18.55,3.28,23.29,6248,2048,1024,512,1256234781.0853913
FFT,float32,2048,2048,2048,1,8,NCCL,2,27.59,8.95,19.52,28.83,2.8,14.37,4892,2048,1024,512,1579558551.7077508
FFT,float32,2048,2048,2048,4,4,NCCL,4,13.94,8.79,36.38,28.46,4.21,24.25,7061,2048,1024,512,1215854867.4035082
FFT,float32,2048,2048,2048,8,2,NCCL,4,23.26,12.82,36.26,24.95,4.02,15.87,8452,2048,1024,512,1272132832.5919533
FFT,float32,2048,2048,2048,2,8,NCCL,4,25.41,12.59,21.54,27.75,2.79,15.63,7377,2048,1024,512,1815454562.6614017
FFT,float32,2048,2048,2048,1,16,NCCL,4,26.91,13.31,17.86,27.58,3.06,24.77,8078,2048,1024,512,1032874367.6368351
FFT,float32,2048,2048,2048,16,1,NCCL,4,29.04,7.97,15.5,25.96,4.97,11.64,8249,2048,1024,512,1219045388.9173396
FFT,float32,2048,2048,2048,8,4,NCCL,8,25.17,10.0,16.12,17.3,2.68,19.51,5596,2048,1024,512,1256775702.191892
FFT,float32,2048,2048,2048,4,8,NCCL,8,11.97,11.28,31.72,12.03,4.39,13.59,9598,2048,1024,512,1528913934.3647273
FFT,float32,2048,2048,2048,1,32,NCCL,8,19.04,5.42,38.98,28.74,4.93,22.77,4539,2048,1024,512,1311579724.781567
FFT,float32,2048,2048,2048,32,1,NCCL,8,16.62,10.95,31.56,13.42,4.18,13.14,1536,2048,1024,512,1739337935.4596746
FFT,float32,2048,2048,2048,8,16,NCCL,32,22.49,11.65,19.34,12.2,1.14,12.24,3295,2048,1024,512,1407011080.3735542
FFT,float32,2048,2048,2048,16,8,NCCL,32,27.45,7.95,30.97,29.75,2.97,21.41,3799,2048,1024,512,1379608886.964183
FFT,float32,2048,2048,2048,1,64,NCCL,16,11.77,9.74,37.56,25.59,1.63,12.53,5101,2048,1024,512,1634368632.2801476
FFT,float32,2048,2048,2048,64,1,NCCL,16,28.56,14.37,21.65,13.52,1.58,20.55,7382,2048,1024,512,1653430624.5494738
FFT,float32,2048,2048,2048,16,16,NCCL,64,15.42,11.97,31.65,13.69,4.35,12.16,2005,2048,1024,512,1825564052.4131968
FFT,float32,2048,2048,2048,1,128,NCCL,32,27.59,8.53,31.87,16.46,4.61,15.4,1324,2048,1024,512,1560719321.2567716
FFT,float32,2048,2048,2048,128,1,NCCL,32,22.23,6.49,24.27,12.52,4.97,23.11,8805,2048,1024,512,1738661345.9474976
FFT,float32,2048,2048,2048,1,256,NCCL,64,14.89,5.97,35.85,24.86,2.98,17.32,9807,2048,1024,512,1516153365.4084516
FFT,float32,2048,2048,2048,256,1,NCCL,64,26.12,6.81,18.16,18.83,3.16,21.84,1797,2048,1024,512,1507554542.9855297
FFT,float32,2048,2048,2048,128,2,NCCL,64,28.93,9.14,37.14,12.08,3.42,22.1,2751,2048,1024,512,1709223290.3796797
FFT,float32,2048,2048,2048,2,128,NCCL,64,20.64,14.65,38.39,17.72,1.67,22.28,1738,2048,1024,512,1894739300.4513307
FFT,float32,4096,4096,4096,1,4,NCCL,1,29.0,14.17,38.12,14.63,4.69,20.83,7260,4096,2048,1024,1501392868.315518
FFT,float32,4096,4096,4096,4,1,NCCL,1,22.77,8.78,30.91,13.18,1.62,12.52,2481,4096,2048,1024,1580408800.750209
FFT,float32,4096,4096,4096,2,2,NCCL,1,27.11,12.28,25.63,22.28,1.93,24.91,3856,4096,2048,1024,1152120175.3618534
FFT,float32,4096,4096,4096,2,4,NCCL,2,27.68,6.41,18.53,15.85,3.25,15.72,4719,4096,2048,1024,1939594040.7577412
FFT,float32,4096,4096,4096,4,2,NCCL,2,26.5,5.82,30.78,28.46,3.31,18.21,9277,4096,2048,1024,1583386735.9345713
FFT,float32,4096,4096,4096,8,1,NCCL,2,17.15,11.32,20.71,11.57,1.05,15.05,7880,4096,2048,1024,1928738394.7560892
FFT,float32,4096,4096,4096,1,8,NCCL,2,10.76,9.43,16.79,12.38,1.92,19.2,4539,4096,2048,1024,1962036091.0937448
FFT,float32,4096,4096,4096,4,4,NCCL,4,21.17,11.09,32.4,28.55,1.44,17.99,3353,4096,2048,1024,1443776586.5611835
FFT,float32,4096,4096,4096,8,2,NCCL,4,25.84,6.77,19.57,27.26,3.92,17.25,4718,4096,2048,1024,1184223065.0061088
FFT,float32,4096,4096,4096,2,8,NCCL,4,16.25,6.49,23.98,15.62,1.62,15.77,9939,4096,2048,1024,1318993872.6887622
FFT,float32,4096,4096,4096,1,16,NCCL,4,10.08,6.28,18.25,17.24,3.86,19.93,5616,4096,2048,1024,1886404500.4013104
FFT,float32,4096,4096,4096,16,1,NCCL,4,26.89,10.56,17.52,13.06,1.76,18.76,4428,4096,2048,1024,1609020468.5811303
FFT,float32,4096,4096,4096,8,4,NCCL,8,11.25,9.46,28.98,23.56,3.16,21.35,7264,4096,2048,1024,1109889363.2816439
FFT,float32,4096,4096,4096,4,8,NCCL,8,15.4,5.86,35.31,19.64,2.89,13.64,5861,4096,2048,1024,1728718704.1615815
FFT,float32,4096,4096,4096,1,32,NCCL,8,10.34,9.87,18.55,25.54,1.09,17.24,7246,4096,2048,1024,1713486015.9403586
FFT,float32,4096,4096,4096,32,1,NCCL,8,19.45,14.05,22.88,15.64,1.24,15.15,8232,4096,2048,1024,1523385149.5365
FFT,float32,4096,4096,4096,8,16,NCCL,32,22.12,9.99,33.76,26.93,2.62,18.88,5052,4096,2048,1024,1254099828.5003827
FFT,float32,4096,4096,4096,16,8,NCCL,32,16.51,12.31,38.06,15.27,2.77,17.57,9226,4096,2048,1024,1294098264.5431361
FFT,float32,4096,4096,4096,1,64,NCCL,16,14.24,12.47,24.11,27.51,3.18,18.96,7801,4096,2048,1024,1405913368.6309316
FFT,float32,4096,4096,4096,64,1,NCCL,16,19.18,13.5,22.75,11.67,2.91,17.04,5721,4096,2048,1024,1144238192.2755125
FFT,float32,4096,4096,4096,16,16,NCCL,64,13.53,8.24,33.9,28.66,4.85,18.62,1204,4096,2048,1024,1507355816.0320294
FFT,float32,4096,4096,4096,1,128,NCCL,32,29.71,13.5,32.27,14.81,2.38,19.88,7434,4096,2048,1024,1287881074.6792793
FFT,float32,4096,4096,4096,128,1,NCCL,32,29.56,9.14,20.88,29.68,4.41,23.18,3485,4096,2048,1024,1776686815.205749
FFT,float32,4096,4096,4096,1,256,NCCL,64,29.12,13.19,20.32,16.38,4.43,22.94,8458,4096,2048,1024,1636235270.849908
FFT,float32,4096,4096,4096,256,1,NCCL,64,25.72,12.01,26.55,27.26,4.29,21.05,7353,4096,2048,1024,1387849207.1614795
FFT,float32,4096,4096,4096,128,2,NCCL,64,11.55,8.8,38.69,14.8,4.07,17.93,9059,4096,2048,1024,1968305957.774278
FFT,float32,4096,4096,4096,2,128,NCCL,64,25.31,7.32,17.26,15.07,2.25,19.98,9407,4096,2048,1024,1607338976.8528662
FFT,float32,8192,8192,8192,1,4,NCCL,1,23.72,7.3,37.43,19.07,4.69,24.1,6221,8192,4096,2048,1286055270.4896188
FFT,float32,8192,8192,8192,4,1,NCCL,1,27.85,11.62,34.89,17.52,2.45,13.81,3409,8192,4096,2048,1442683644.4691913
FFT,float32,8192,8192,8192,2,2,NCCL,1,16.58,5.9,17.31,25.27,1.65,19.31,3262,8192,4096,2048,1359602055.418333
FFT,float32,8192,8192,8192,2,4,NCCL,2,13.69,14.82,24.71,19.83,4.79,12.83,8596,8192,4096,2048,1367673494.7573936
FFT,float32,8192,8192,8192,4,2,NCCL,2,18.7,14.91,18.95,23.04,4.3,20.63,6645,8192,4096,2048,1701356468.5219293
FFT,float32,8192,8192,8192,8,1,NCCL,2,12.73,13.21,23.34,25.35,3.07,20.67,8113,8192,4096,2048,1502601400.15734
FFT,float32,8192,8192,8192,1,8,NCCL,2,26.72,11.03,15.43,29.89,2.99,17.56,3416,8192,4096,2048,1280218323.4968786
FFT,float32,8192,8192,8192,4,4,NCCL,4,24.04,8.93,37.73,11.89,1.31,13.76,8796,8192,4096,2048,1787363715.8917265
FFT,float32,8192,8192,8192,8,2,NCCL,4,28.11,6.16,19.99,22.01,2.12,13.67,4869,8192,4096,2048,1872508133.4392786
FFT,float32,8192,8192,8192,2,8,NCCL,4,23.66,9.2,29.31,22.03,3.17,13.22,8842,8192,4096,2048,1072129790.9783756
FFT,float32,8192,8192,8192,1,16,NCCL,4,19.43,9.12,23.7,21.45,3.97,11.15,2369,8192,4096,2048,1251710206.7636569
FFT,float32,8192,8192,8192,16,1,NCCL,4,21.28,8.95,37.38,13.95,2.98,15.57,3535,8192,4096,2048,1265169363.5385935
FFT,float32,8192,8192,8192,8,4,NCCL,8,23.69,6.14,19.2,16.75,4.29,16.66,8739,8192,4096,2048,1342053508.6092863
FFT,float32,8192,8192,8192,4,8,NCCL,8,18.45,12.72,21.69,12.3,3.22,16.53,3162,8192,4096,2048,1674593202.3496833
FFT,float32,8192,8192,8192,1,32,NCCL,8,27.4,11.22,37.06,18.16,4.7,20.47,2828,8192,4096,2048,1425438535.111648
FFT,float32,8192,8192,8192,32,1,NCCL,8,20.65,8.74,29.26,11.73,3.03,22.28,7140,8192,4096,2048,1535723332.0308967
FFT,float32,8192,8192,8192,8,16,NCCL,32,27.94,9.67,26.79,12.35,2.52,24.33,5477,8192,4096,2048,1791233558.7608955
FFT,float32,8192,8192,8192,16,8,NCCL,32,21.36,7.57,20.56,14.77,3.35,22.57,5949,8192,4096,2048,1290355497.8127537
FFT,float32,8192,8192,8192,1,64,NCCL,16,11.74,14.22,36.86,11.8,4.62,11.66,8457,8192,4096,2048,1681467425.4429502
FFT,float32,8192,8192,8192,64,1,NCCL,16,18.65,11.32,27.4,29.3,1.27,12.67,8165,8192,4096,2048,1333564401.5467672
FFT,float32,8192,8192,8192,16,16,NCCL,64,11.8,11.72,38.81,24.07,2.09,14.46,2220,8192,4096,2048,1043782894.3657936
FFT,float32,8192,8192,8192,1,128,NCCL,32,29.94,12.05,35.25,20.57,3.64,13.91,3414,8192,4096,2048,1118228322.7324467
FFT,float32,8192,8192,8192,128,1,NCCL,32,11.46,13.12,25.68,25.92,3.22,12.7,9290,8192,4096,2048,1058650558.7979989
FFT,float32,8192,8192,8192,1,256,NCCL,64,24.96,7.81,22.15,26.54,2.73,18.83,7159,8192,4096,2048,1318217860.120923
FFT,float32,8192,8192,8192,256,1,NCCL,64,14.97,10.93,38.3,13.81,2.19,12.89,6349,8192,4096,2048,1462589838.9634345
FFT,float32,8192,8192,8192,128,2,NCCL,64,20.85,6.55,38.68,22.0,1.83,16.93,1813,8192,4096,2048,1412983068.0236208
FFT,float32,8192,8192,8192,2,128,NCCL,64,26.77,9.82,16.85,22.83,4.84,24.43,5945,8192,4096,2048,1134958838.6275258
FFT,float32,16384,16384,16384,1,4,NCCL,1,14.13,5.34,37.41,10.97,1.05,13.22,6449,16384,8192,4096,1518381886.420216
FFT,float32,16384,16384,16384,4,1,NCCL,1,13.37,10.52,23.76,20.48,3.04,12.32,1638,16384,8192,4096,1525064465.3626072
FFT,float32,16384,16384,16384,2,2,NCCL,1,27.8,11.63,15.51,14.96,4.23,13.76,9248,16384,8192,4096,1257714641.8768792
FFT,float32,16384,16384,16384,2,4,NCCL,2,17.05,14.17,38.17,27.38,4.59,11.65,6604,16384,8192,4096,1638786358.4360917
FFT,float32,16384,16384,16384,4,2,NCCL,2,20.68,6.9,28.34,19.13,2.71,13.47,3991,16384,8192,4096,1159628432.3642225
FFT,float32,16384,16384,16384,8,1,NCCL,2,27.2,14.09,23.35,23.68,2.45,12.76,2322,16384,8192,4096,1199767020.8400047
FFT,float32,16384,16384,16384,1,8,NCCL,2,10.78,6.52,24.83,13.74,4.27,13.87,4827,16384,8192,4096,1721623182.3971083
FFT,float32,16384,16384,16384,4,4,NCCL,4,20.95,5.38,39.9,17.62,4.32,20.55,6195,16384,8192,4096,1379367402.8500342
FFT,float32,16384,16384,16384,8,2,NCCL,4,23.68,7.65,24.47,21.38,4.63,24.57,5576,16384,8192,4096,1314959019.371813
FFT,float32,16384,16384,16384,2,8,NCCL,4,17.19,10.73,36.74,12.17,4.71,16.58,3736,16384,8192,4096,1795547933.5010643
FFT,float32,16384,16384,16384,1,16,NCCL,4,12.53,7.46,18.37,14.56,3.32,12.67,7963,16384,8192,4096,1466062411.7165258
FFT,float32,16384,16384,16384,16,1,NCCL,4,23.75,5.93,17.63,29.84,4.96,21.13,6149,16384,8192,4096,1144659515.665629
FFT,float32,16384,16384,16384,8,4,NCCL,8,27.74,6.29,15.56,18.98,3.94,22.96,3850,16384,8192,4096,1558450967.7784333
FFT,float32,16384,16384,16384,4,8,NCCL,8,13.0,5.55,24.11,14.04,4.25,22.56,6926,16384,8192,4096,1446064446.4659524
FFT,float32,16384,16384,16384,1,32,NCCL,8,19.43,8.21,28.72,14.56,2.47,24.78,3526,16384,8192,4096,1324834303.0643055
FFT,float32,16384,16384,16384,32,1,NCCL,8,14.07,5.83,17.79,17.46,3.53,22.03,8130,16384,8192,4096,1790616648.10873
FFT,float32,16384,16384,16384,8,16,NCCL,32,11.07,5.24,19.23,27.27,3.39,17.27,8402,16384,8192,4096,1355674316.9603975
FFT,float32,16384,16384,16384,16,8,NCCL,32,11.52,6.34,31.74,18.57,3.76,21.79,7016,16384,8192,4096,1006155784.9269222
FFT,float32,16384,16384,16384,1,64,NCCL,16,12.71,8.55,29.9,26.0,2.02,22.39,3991,16384,8192,4096,1753157540.5620122
FFT,float32,16384,16384,16384,64,1,NCCL,16,11.44,10.47,36.86,21.86,2.72,15.94,2780,16384,8192,4096,1161768603.7361174
