function,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_div,last_time,generated_code,argument_size,output_size,temp_size,flops
FFT,float32,1024,1024,1024,1,4,NCCL,1,15.51,5.85,23.75,24.41,2.83,11.7,5551,1024,512,256,1523205676.6345267
FFT,float32,1024,1024,1024,4,1,NCCL,1,24.96,14.16,24.95,15.37,4.87,22.27,7136,1024,512,256,1104942030.1518438
FFT,float32,1024,1024,1024,2,2,NCCL,1,26.86,7.71,23.74,22.14,1.8,24.41,9423,1024,512,256,1495140793.875846
FFT,float32,1024,1024,1024,2,4,NCCL,2,14.51,8.19,37.23,24.26,1.13,19.99,2086,1024,512,256,1137971933.7417128
FFT,float32,1024,1024,1024,4,2,NCCL,2,26.84,13.53,20.38,20.19,3.93,15.66,3115,1024,512,256,1206376225.2376795
FFT,float32,1024,1024,1024,8,1,NCCL,2,15.7,8.8,22.97,23.26,1.25,25.0,8002,1024,512,256,1298792961.5546422
FFT,float32,1024,1024,1024,1,8,NCCL,2,16.43,5.41,15.04,12.67,1.56,16.49,2820,1024,512,256,1251395089.2656336
FFT,float32,1024,1024,1024,4,4,NCCL,4,26.43,6.23,25.33,18.71,3.2,23.51,2413,1024,512,256,1777265783.1015792
FFT,float32,1024,1024,1024,8,2,NCCL,4,16.9,7.24,30.38,11.18,3.86,12.96,5291,1024,512,256,1206755512.8025517
FFT,float32,1024,1024,1024,2,8,NCCL,4,20.71,6.43,30.49,22.39,1.26,15.99,9318,1024,512,256,1849696065.8620434
FFT,float32,1024,1024,1024,1,16,NCCL,4,21.67,13.97,38.16,18.49,4.97,14.09,2948,1024,512,256,1024836245.6731449
FFT,float32,1024,1024,1024,16,1,NCCL,4,11.68,7.4,16.82,21.72,2.62,13.68,4444,1024,512,256,1938666878.5171928
FFT,float32,1024,1024,1024,8,4,NCCL,8,27.6,7.44,18.56,25.55,1.99,12.84,1727,1024,512,256,1239364257.1323662
FFT,float32,1024,1024,1024,4,8,NCCL,8,18.72,13.59,26.02,13.77,3.7,15.89,4539,1024,512,256,1063519539.755179
FFT,float32,1024,1024,1024,1,32,NCCL,8,22.04,5.65,34.98,27.92,3.12,14.55,4346,1024,512,256,1250768608.1098223
FFT,float32,1024,1024,1024,32,1,NCCL,8,17.13,6.76,38.2,12.51,3.84,16.42,5701,1024,512,256,1900885448.89588
FFT,float32,1024,1024,1024,8,16,NCCL,32,17.97,12.76,33.55,10.9,2.87,12.46,8591,1024,512,256,1023006740.381265
FFT,float32,1024,1024,1024,16,8,NCCL,32,20.62,10.77,39.42,22.65,2.73,16.05,8911,1024,512,256,1463860822.693772
FFT,float32,1024,1024,1024,1,64,NCCL,16,23.8,10.87,22.99,10.73,1.5,17.58,4619,1024,512,256,1595351922.355811
FFT,float32,1024,1024,1024,64,1,NCCL,16,15.19,9.81,21.09,26.07,1.5,21.68,1795,1024,512,256,1591811771.3230677
FFT,float32,1024,1024,1024,16,16,NCCL,64,28.28,11.7,24.72,14.34,3.01,24.62,3918,1024,512,256,1821444056.8732786
FFT,float32,1024,1024,1024,1,128,NCCL,32,28.01,6.28,23.65,28.87,1.09,22.4,7232,1024,512,256,1327431871.6664069
FFT,float32,1024,1024,1024,128,1,NCCL,32,20.83,6.48,34.68,18.3,3.29,21.46,2094,1024,512,256,1586067542.7264128
FFT,float32,1024,1024,1024,1,256,NCCL,64,16.3,8.84,26.73,18.2,3.08,12.62,6025,1024,512,256,1614427991.7493625
FFT,float32,1024,1024,1024,256,1,NCCL,64,20.47,6.07,37.32,25.28,1.87,12.42,5073,1024,512,256,1984726007.4748578
FFT,float32,1024,1024,1024,128,2,NCCL,64,25.15,14.72,29.56,22.69,2.09,20.53,3406,1024,512,256,1200556161.3965461
FFT,float32,1024,1024,1024,2,128,NCCL,64,28.71,7.91,16.8,10.04,1.13,20.97,2930,1024,512,256,1327233767.3572793
FFT,float32,2048,2048,2048,1,4,NCCL,1,29.22,10.17,27.27,24.69,2.84,11.09,1365,2048,1024,512,1929806680.0337195
FFT,float32,2048,2048,2048,4,1,NCCL,1,12.04,11.04,27.39,27.62,2.08,16.41,4146,2048,1024,512,1113994060.6858191
FFT,float32,2048,2048,2048,2,2,NCCL,1,27.34,5.85,20.94,21.53,3.23,19.62,9696,2048,1024,512,1563944334.4250245
FFT,float32,2048,2048,2048,2,4,NCCL,2,21.88,6.33,18.77,18.98,2.44,24.55,1460,2048,1024,512,1413433866.8569248
FFT,float32,2048,2048,2048,4,2,NCCL,2,11.31,12.65,32.9,10.38,1.29,23.23,9459,2048,1024,512,1406881184.5097885
FFT,float32,2048,2048,2048,8,1,NCCL,2,14.99,8.26,34.71,25.9,1.85,16.63,9968,2048,1024,512,1709903577.1919098
FFT,float32,2048,2048,2048,1,8,NCCL,2,24.12,7.31,26.35,11.93,2.5,11.43,3087,2048,1024,512,1389612984.4366817
FFT,float32,2048,2048,2048,4,4,NCCL,4,21.59,13.02,22.88,15.71,2.03,17.51,3974,2048,1024,512,1115673304.4254575
FFT,float32,2048,2048,2048,8,2,NCCL,4,15.39,12.51,20.5,20.54,1.16,18.01,7975,2048,1024,512,1825874177.986907
FFT,float32,2048,2048,2048,2,8,NCCL,4,12.05,6.84,35.37,11.03,4.16,12.54,2498,2048,1024,512,1081833304.7561543
FFT,float32,2048,2048,2048,1,16,NCCL,4,12.9,14.27,32.1,25.5,1.67,22.04,2934,2048,1024,512,1536735007.7848477
FFT,float32,2048,2048,2048,16,1,NCCL,4,25.11,6.63,36.59,17.32,1.44,19.1,9193,2048,1024,512,1831544353.5431285
FFT,float32,2048,2048,2048,8,4,NCCL,8,26.58,5.34,21.3,26.85,3.3,15.86,3331,2048,1024,512,1939719408.3422213
FFT,float32,2048,2048,2048,4,8,NCCL,8,10.86,6.51,30.82,17.82,4.01,23.09,3407,2048,1024,512,1876897450.7255864
FFT,float32,2048,2048,2048,1,32,NCCL,8,26.86,5.36,23.47,16.79,3.9,12.65,1355,2048,1024,512,1969405462.5349422
FFT,float32,2048,2048,2048,32,1,NCCL,8,28.98,5.51,28.14,14.86,1.07,19.38,8431,2048,1024,512,1906735897.0223377
FFT,float32,2048,2048,2048,8,16,NCCL,32,22.51,7.35,18.52,17.51,1.57,14.31,6487,2048,1024,512,1851011187.3039103
FFT,float32,2048,2048,2048,16,8,NCCL,32,13.92,8.26,21.08,14.38,4.31,16.17,8021,2048,1024,512,1786166505.08184
FFT,float32,2048,2048,2048,1,64,NCCL,16,15.45,11.99,29.4,19.64,1.45,23.43,2071,2048,1024,512,1802301670.7461748
FFT,float32,2048,2048,2048,64,1,NCCL,16,13.74,10.17,22.65,23.64,4.25,16.43,3359,2048,1024,512,1055640732.7406378
FFT,float32,2048,2048,2048,16,16,NCCL,64,12.74,13.7,17.29,15.62,4.48,20.73,4971,2048,1024,512,1715961628.1262436
FFT,float32,2048,2048,2048,1,128,NCCL,32,26.89,7.35,17.72,10.23,1.07,21.5,4694,2048,1024,512,1682070780.6984959
FFT,float32,2048,2048,2048,128,1,NCCL,32,13.14,8.26,24.02,24.77,2.53,21.43,5954,2048,1024,512,1786144870.8079488
